adm0_name,iso3,X,Y,published,source,airline,info,optional1,optional2,optional3,ObjectId
Arunachal Pradesh,"IND, CHN",94.372447,28.128178,,,,,,,,18
Ashmore and Cartier Islands,AUS,122.967269,-12.242967,,,,,,,,19
Australia,AUS,134.354708,-25.573209,24.03.2020,https://www.news.com.au/travel/travel-updates/health-safety/coronavirus-virgin-australia-stands-down-8000-tiger-air-ground-fleet/news-story/e5779b7b867c492c51f8142974371e40,Tigerair Australia,Tigerair Australia will ground all their domestic services effective immediately.,,,,20
Australia,AUS,134.354708,-25.573209,23.03.2020,https://www.northweststar.com.au/story/6692672/rex-grounding-all-flights-except-qld-as-travel-ban-bites/,Regional Express,Regional Express to ground almost all its public flights from 6 April,,,,21
Australia,AUS,134.354708,-25.573209,09.04.2020,https://www.cityam.com/coronavirus-virgin-australia-to-grounds-all-but-one-domestic-flights-and-seeks-state-aid/,Virgin Australia,Virgin Australia will ground all but one domestic flight until at least 15 June because of COVID-19,,,,22
Australia,AUS,134.354708,-25.573209,17.04.2020,https://www.routesonline.com/news/38/airlineroute/290835/virgin-australia-17apr20-14jun20-domestic-operations-as-of-17apr20/,.Virgin Australia,Virgin Australia 17APR20 – 14JUN20 Domestic operations as of 17APR20,,,,23
Australia,AUS,134.354708,-25.573209,17.04.2020,https://www.rustourismnews.com/2020/04/17/virgin-australia-to-resume-limited-flights/,.Virgin Australia,"Virgin Australia to resume limited domestic operations until 7 June, some repatriation flights amid COVID-19 pandemic",,,,24
Australia,AUS,134.354708,-25.573209,06.04.2020,https://www.routesonline.com/news/38/airlineroute/290656/jetstar-aprilmay-2020-domestic-operations-as-of-05apr20/,.Virgin Australia,Jetstar April/May 2020 Domestic operations as of 05APR20,,,,25
Australia,AUS,134.354708,-25.573209,08.04.2020,https://www.routesonline.com/news/38/airlineroute/290696/qantas-schedules-limited-international-flights-in-april-2020/,.Qantas,Qantas schedules limited International flights in April 2020,,,,26
Australia,AUS,134.354708,-25.573209,11.05.2020,https://www.routesonline.com/news/38/airlineroute/291211/qantas-2q20-domestic-a330-300-operations/,.Qantas,Qantas additions to Domestic operations of 26APR20 (from 20APR20 to 30JUN20),,,,27
Australia,AUS,134.354708,-25.573209,19.05.2020,https://www.reuters.com/article/us-health-coronavirus-qantas/australias-qantas-set-to-ramp-up-domestic-flights-without-social-distancing-idUSKBN22V00R?il=0,.Qantas,Qantas set to ramp up domestic flights without social distancing,,,,28
Australia,AUS,134.354708,-25.573209,19.05.2020,https://www.zawya.com/mena/en/life/story/Qantas_to_restart_regular_flights_from_June_12-SNG_174864139//,.Qantas,Qantas to restart regular flights from June 12,,,,29
